country,link,bus0,bus1,bus2,bus3,type,carrier,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
XY,XY_CE_LVELEC_to_XY_CE_IND-LH_by_EDLH,XY_CE_HVELEC,XY_CE_IND-LH,,,EDLH,Electricity,530,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_NR_LVELEC_to_XY_NR_IND-LH_by_EDLH,XY_NR_HVELEC,XY_NR_IND-LH,,,EDLH,Electricity,260,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_SO_LVELEC_to_XY_SO_IND-LH_by_EDLH,XY_SO_HVELEC,XY_SO_IND-LH,,,EDLH,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_CE_HVELEC_to_XY_CE_IND-HH_by_EERH,XY_CE_HVELEC,XY_CE_IND-HH,,,EERH,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_NR_HVELEC_to_XY_NR_IND-HH_by_EERH,XY_NR_HVELEC,XY_NR_IND-HH,,,EERH,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_SO_HVELEC_to_XY_SO_IND-HH_by_EERH,XY_SO_HVELEC,XY_SO_IND-HH,,,EERH,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_CE_LVELEC_to_XY_CE_IND-LH_by_EHPP,XY_CE_HVELEC,XY_CE_IND-LH,,,EHPP,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_NR_LVELEC_to_XY_NR_IND-LH_by_EHPP,XY_NR_HVELEC,XY_NR_IND-LH,,,EHPP,Electricity,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_SO_LVELEC_to_XY_SO_IND-LH_by_EHPP,XY_SO_HVELEC,XY_SO_IND-LH,,,EHPP,Electricity,320,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_CE_HVELEC_to_XY_CE_IND-HH_by_EIDT,XY_CE_HVELEC,XY_CE_IND-HH,,,EIDT,Electricity,650,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_NR_HVELEC_to_XY_NR_IND-HH_by_EIDT,XY_NR_HVELEC,XY_NR_IND-HH,,,EIDT,Electricity,50,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_SO_HVELEC_to_XY_SO_IND-HH_by_EIDT,XY_SO_HVELEC,XY_SO_IND-HH,,,EIDT,Electricity,40,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_CE_IND-HH_by_IND_BOILER,XY_BION,XY_CE_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,2000,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_CE_IND-LH_by_IND_BOILER,XY_BION,XY_CE_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,3700,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_NR_IND-HH_by_IND_BOILER,XY_BION,XY_NR_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,0,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_NR_IND-LH_by_IND_BOILER,XY_BION,XY_NR_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,0,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_SO_IND-HH_by_IND_BOILER,XY_BION,XY_SO_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,350,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_BION_to_XY_SO_IND-LH_by_IND_BOILER,XY_BION,XY_SO_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Bio,2100,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_CE_IND-HH_by_IND_BOILER,XY_GASN,XY_CE_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,3300,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_CE_IND-LH_by_IND_BOILER,XY_GASN,XY_CE_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,1500,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_NR_IND-HH_by_IND_BOILER,XY_GASN,XY_NR_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,440,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_NR_IND-LH_by_IND_BOILER,XY_GASN,XY_NR_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,1500,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_SO_IND-HH_by_IND_BOILER,XY_GASN,XY_SO_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_GASN_to_XY_SO_IND-LH_by_IND_BOILER,XY_GASN,XY_SO_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Gas,2000,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_CE_IND-HH_by_IND_BOILER,XY_HRDCN,XY_CE_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,4200,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_SO_IND-LH_by_IND_BOILER,XY_HRDCN,XY_SO_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,1900,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_SO_IND-HH_by_IND_BOILER,XY_HRDCN,XY_SO_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,390,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_NR_IND-HH_by_IND_BOILER,XY_HRDCN,XY_NR_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,370,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_CE_IND-LH_by_IND_BOILER,XY_HRDCN,XY_CE_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,0,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HRDCN_to_XY_NR_IND-LH_by_IND_BOILER,XY_HRDCN,XY_NR_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hrdc,0,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_CE_IND-HH_by_IND_BOILER,XY_HYDN,XY_CE_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_CE_IND-LH_by_IND_BOILER,XY_HYDN,XY_CE_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_NR_IND-HH_by_IND_BOILER,XY_HYDN,XY_NR_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_NR_IND-LH_by_IND_BOILER,XY_HYDN,XY_NR_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_SO_IND-HH_by_IND_BOILER,XY_HYDN,XY_SO_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_HYDN_to_XY_SO_IND-LH_by_IND_BOILER,XY_HYDN,XY_SO_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Hyd,0,TRUE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_OILN_to_XY_CE_IND-HH_by_IND_BOILER,XY_OILN,XY_CE_IND-HH,XY_ATMP,XY_CO2STORN,IND_BOILER,Oil,2400,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_OILN_to_XY_CE_IND-LH_by_IND_BOILER,XY_OILN,XY_CE_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Oil,2400,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_OILN_to_XY_SO_IND-LH_by_IND_BOILER,XY_OILN,XY_SO_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Oil,680,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
XY,XY_OILN_to_XY_NR_IND-LH_by_IND_BOILER,XY_OILN,XY_NR_IND-LH,XY_ATMP,XY_CO2STORN,IND_BOILER,Oil,460,FALSE,inf,inf,inf,inf,inf,inf,0,0,0,0,0,0
