country,node,bus,profile_type,name,total_load,carrier,year
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,190000,Electricity,2025
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,740000,Electricity,2030
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,1950000,Electricity,2035
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,3520000,Electricity,2040
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,4560000,Electricity,2045
XY,XY_CE,XY_CE_TRAN-PRV,LPV_LOAD,XY_CE_TRAN-PRV_LPV_LOAD,5260000,Electricity,2050
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,0,Electricity,2025
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,840000,Electricity,2030
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,4000000,Electricity,2035
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,9300000,Electricity,2040
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,14900000,Electricity,2045
XY,XY_CE,XY_CE_TRAN-PUB,HPV_LOAD,XY_CE_TRAN-PUB_HPV_LOAD,18100000,Electricity,2050
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,110000,Electricity,2025
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,410000,Electricity,2030
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,1000000,Electricity,2035
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,1730000,Electricity,2040
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,2370000,Electricity,2045
XY,XY_NR,XY_NR_TRAN-PRV,LPV_LOAD,XY_NR_TRAN-PRV_LPV_LOAD,2840000,Electricity,2050
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,0,Electricity,2025
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,400000,Electricity,2030
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,1930000,Electricity,2035
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,4490000,Electricity,2040
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,7220000,Electricity,2045
XY,XY_NR,XY_NR_TRAN-PUB,HPV_LOAD,XY_NR_TRAN-PUB_HPV_LOAD,8730000,Electricity,2050
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,140000,Electricity,2025
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,490000,Electricity,2030
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,1260000,Electricity,2035
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,2230000,Electricity,2040
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,2890000,Electricity,2045
XY,XY_SO,XY_SO_TRAN-PRV,LPV_LOAD,XY_SO_TRAN-PRV_LPV_LOAD,3320000,Electricity,2050
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,0,Electricity,2025
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,220000,Electricity,2030
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,1050000,Electricity,2035
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,2450000,Electricity,2040
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,3940000,Electricity,2045
XY,XY_SO,XY_SO_TRAN-PUB,HPV_LOAD,XY_SO_TRAN-PUB_HPV_LOAD,4760000,Electricity,2050
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,197000,Electricity,2025
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,749000,Electricity,2030
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,1950000,Electricity,2035
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,3520000,Electricity,2040
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,4560000,Electricity,2045
YZ,YZ_CE,YZ_CE_TRAN-PRV,LPV_LOAD,YZ_CE_TRAN-PRV_LPV_LOAD,5260000,Electricity,2050
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,0,Electricity,2025
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,840000,Electricity,2030
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,4000000,Electricity,2035
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,9300000,Electricity,2040
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,14900000,Electricity,2045
YZ,YZ_CE,YZ_CE_TRAN-PUB,HPV_LOAD,YZ_CE_TRAN-PUB_HPV_LOAD,18100000,Electricity,2050
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,110000,Electricity,2025
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,410000,Electricity,2030
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,1000000,Electricity,2035
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,1700000,Electricity,2040
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,2300000,Electricity,2045
YZ,YZ_NR,YZ_NR_TRAN-PRV,LPV_LOAD,YZ_NR_TRAN-PRV_LPV_LOAD,2800000,Electricity,2050
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,0,Electricity,2025
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,400000,Electricity,2030
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,1930000,Electricity,2035
